Gene.660	Gene.660
Gene.662	Gene.662
Gene.275	Gene.275
Gene.48	Gene.48
Gene.279	Gene.279
Gene.281	Gene.281
Gene.664	Gene.664
Gene.668	Gene.668
Gene.282	Gene.282
Gene.283	Gene.283
Gene.50	Gene.50
Gene.51	Gene.51
Gene.53	Gene.53
Gene.55	Gene.55
Gene.1	Gene.1
Gene.56	Gene.56
Gene.58	Gene.58
Gene.292	Gene.292
Gene.60	Gene.60
Gene.672	Gene.672
Gene.293	Gene.293
Gene.64	Gene.64
Gene.65	Gene.65
Gene.297	Gene.297
Gene.69	Gene.69
Gene.70	Gene.70
Gene.72	Gene.72
Gene.298	Gene.298
Gene.301	Gene.301
Gene.304	Gene.304
Gene.73	Gene.73
Gene.305	Gene.305
Gene.307	Gene.307
Gene.74	Gene.74
Gene.308	Gene.308
Gene.314	Gene.314
Gene.315	Gene.315
Gene.318	Gene.318
Gene.319	Gene.319
Gene.76	Gene.76
Gene.330	Gene.330
Gene.80	Gene.80
Gene.82	Gene.82
Gene.85	Gene.85
Gene.86	Gene.86
Gene.333	Gene.333
Gene.87	Gene.87
Gene.338	Gene.338
Gene.93	Gene.93
Gene.94	Gene.94
Gene.95	Gene.95
Gene.98	Gene.98
Gene.99	Gene.99
Gene.100	Gene.100
Gene.101	Gene.101
Gene.102	Gene.102
Gene.103	Gene.103
Gene.109	Gene.109
Gene.110	Gene.110
Gene.112	Gene.112
Gene.116	Gene.116
Gene.120	Gene.120
Gene.121	Gene.121
Gene.122	Gene.122
Gene.123	Gene.123
Gene.127	Gene.127
Gene.129	Gene.129
Gene.130	Gene.130
Gene.132	Gene.132
Gene.136	Gene.136
Gene.138	Gene.138
Gene.141	Gene.141
Gene.142	Gene.142
Gene.146	Gene.146
Gene.147	Gene.147
Gene.150	Gene.150
Gene.151	Gene.151
Gene.153	Gene.153
Gene.155	Gene.155
Gene.158	Gene.158
Gene.340	Gene.340
Gene.162	Gene.162
Gene.344	Gene.344
Gene.345	Gene.345
Gene.346	Gene.346
Gene.166	Gene.166
Gene.351	Gene.351
Gene.353	Gene.353
Gene.356	Gene.356
Gene.358	Gene.358
Gene.359	Gene.359
Gene.363	Gene.363
Gene.365	Gene.365
Gene.366	Gene.366
Gene.369	Gene.369
Gene.370	Gene.370
Gene.371	Gene.371
Gene.372	Gene.372
Gene.375	Gene.375
Gene.377	Gene.377
Gene.382	Gene.382
Gene.385	Gene.385
Gene.387	Gene.387
Gene.389	Gene.389
Gene.390	Gene.390
Gene.394	Gene.394
Gene.396	Gene.396
Gene.399	Gene.399
Gene.400	Gene.400
Gene.410	Gene.410
Gene.413	Gene.413
Gene.414	Gene.414
Gene.415	Gene.415
Gene.416	Gene.416
Gene.417	Gene.417
Gene.173	Gene.173
Gene.420	Gene.420
Gene.421	Gene.421
Gene.423	Gene.423
Gene.425	Gene.425
Gene.427	Gene.427
Gene.429	Gene.429
Gene.430	Gene.430
Gene.431	Gene.431
Gene.434	Gene.434
Gene.435	Gene.435
Gene.436	Gene.436
Gene.178	Gene.178
Gene.439	Gene.439
Gene.440	Gene.440
Gene.443	Gene.443
Gene.5	Gene.5
Gene.446	Gene.446
Gene.453	Gene.453
Gene.455	Gene.455
Gene.459	Gene.459
Gene.460	Gene.460
Gene.466	Gene.466
Gene.182	Gene.182
Gene.186	Gene.186
Gene.187	Gene.187
Gene.190	Gene.190
Gene.192	Gene.192
Gene.193	Gene.193
Gene.469	Gene.469
Gene.9	Gene.9
Gene.200	Gene.200
Gene.474	Gene.474
Gene.478	Gene.478
Gene.483	Gene.483
Gene.490	Gene.490
Gene.496	Gene.496
Gene.497	Gene.497
Gene.503	Gene.503
Gene.509	Gene.509
Gene.511	Gene.511
Gene.516	Gene.516
Gene.518	Gene.518
Gene.519	Gene.519
Gene.203	Gene.203
Gene.204	Gene.204
Gene.521	Gene.521
Gene.522	Gene.522
Gene.206	Gene.206
Gene.527	Gene.527
Gene.11	Gene.11
Gene.12	Gene.12
Gene.15	Gene.15
Gene.208	Gene.208
Gene.209	Gene.209
Gene.18	Gene.18
Gene.211	Gene.211
Gene.536	Gene.536
Gene.537	Gene.537
Gene.220	Gene.220
Gene.539	Gene.539
Gene.221	Gene.221
Gene.223	Gene.223
Gene.224	Gene.224
Gene.20	Gene.20
Gene.226	Gene.226
Gene.231	Gene.231
Gene.546	Gene.546
Gene.547	Gene.547
Gene.549	Gene.549
Gene.25	Gene.25
Gene.555	Gene.555
Gene.561	Gene.561
Gene.567	Gene.567
Gene.568	Gene.568
Gene.574	Gene.574
Gene.232	Gene.232
Gene.586	Gene.586
Gene.592	Gene.592
Gene.237	Gene.237
Gene.238	Gene.238
Gene.597	Gene.597
Gene.240	Gene.240
Gene.241	Gene.241
Gene.242	Gene.242
Gene.245	Gene.245
Gene.246	Gene.246
Gene.248	Gene.248
Gene.249	Gene.249
Gene.251	Gene.251
Gene.252	Gene.252
Gene.254	Gene.254
Gene.28	Gene.28
Gene.600	Gene.600
Gene.255	Gene.255
Gene.256	Gene.256
Gene.257	Gene.257
Gene.258	Gene.258
Gene.30	Gene.30
Gene.35	Gene.35
Gene.262	Gene.262
Gene.267	Gene.267
Gene.268	Gene.268
Gene.43	Gene.43
Gene.270	Gene.270
Gene.271	Gene.271
Gene.45	Gene.45
Gene.601	Gene.601
Gene.603	Gene.603
Gene.616	Gene.616
Gene.618	Gene.618
Gene.619	Gene.619
Gene.620	Gene.620
Gene.626	Gene.626
Gene.632	Gene.632
Gene.634	Gene.634
Gene.639	Gene.639
Gene.640	Gene.640
Gene.642	Gene.642
Gene.644	Gene.644
Gene.651	Gene.651
Gene.658	Gene.658
Gene.37810	Gene.37810
Gene.40929	Gene.40929
Gene.40930	Gene.40930
Gene.40935	Gene.40935
Gene.40939	Gene.40939
Gene.40940	Gene.40940
Gene.40941	Gene.40941
Gene.40942	Gene.40942
Gene.40948	Gene.40948
Gene.37817	Gene.37817
Gene.40949	Gene.40949
Gene.37819	Gene.37819
Gene.37820	Gene.37820
Gene.37823	Gene.37823
Gene.37826	Gene.37826
Gene.40956	Gene.40956
Gene.37839	Gene.37839
Gene.37841	Gene.37841
Gene.40962	Gene.40962
Gene.37844	Gene.37844
Gene.37846	Gene.37846
Gene.37850	Gene.37850
Gene.37851	Gene.37851
Gene.37852	Gene.37852
Gene.40967	Gene.40967
Gene.40970	Gene.40970
Gene.40972	Gene.40972
Gene.40973	Gene.40973
Gene.40974	Gene.40974
Gene.37859	Gene.37859
Gene.37861	Gene.37861
Gene.37865	Gene.37865
Gene.37867	Gene.37867
Gene.40978	Gene.40978
Gene.37868	Gene.37868
Gene.40981	Gene.40981
Gene.40982	Gene.40982
Gene.37870	Gene.37870
Gene.40985	Gene.40985
Gene.37875	Gene.37875
Gene.37878	Gene.37878
Gene.37879	Gene.37879
Gene.40986	Gene.40986
Gene.40988	Gene.40988
Gene.37882	Gene.37882
Gene.37883	Gene.37883
Gene.37888	Gene.37888
Gene.37893	Gene.37893
Gene.37894	Gene.37894
Gene.37902	Gene.37902
Gene.37903	Gene.37903
Gene.37211	Gene.37211
Gene.37904	Gene.37904
Gene.37905	Gene.37905
Gene.37911	Gene.37911
Gene.40999	Gene.40999
Gene.37918	Gene.37918
Gene.37920	Gene.37920
Gene.41001	Gene.41001
Gene.37924	Gene.37924
Gene.37928	Gene.37928
Gene.37931	Gene.37931
Gene.37932	Gene.37932
Gene.37934	Gene.37934
Gene.37936	Gene.37936
Gene.37937	Gene.37937
Gene.37942	Gene.37942
Gene.37944	Gene.37944
Gene.37946	Gene.37946
Gene.37951	Gene.37951
Gene.37954	Gene.37954
Gene.41008	Gene.41008
Gene.41009	Gene.41009
Gene.37955	Gene.37955
Gene.41010	Gene.41010
Gene.37957	Gene.37957
Gene.41012	Gene.41012
Gene.37959	Gene.37959
Gene.37962	Gene.37962
Gene.37963	Gene.37963
Gene.41024	Gene.41024
Gene.41025	Gene.41025
Gene.37972	Gene.37972
Gene.37975	Gene.37975
Gene.41032	Gene.41032
Gene.37976	Gene.37976
Gene.37978	Gene.37978
Gene.41038	Gene.41038
Gene.41040	Gene.41040
Gene.37979	Gene.37979
Gene.41043	Gene.41043
Gene.41044	Gene.41044
Gene.37981	Gene.37981
Gene.37985	Gene.37985
Gene.37987	Gene.37987
Gene.37988	Gene.37988
Gene.37989	Gene.37989
Gene.37990	Gene.37990
Gene.37991	Gene.37991
Gene.37992	Gene.37992
Gene.37993	Gene.37993
Gene.37997	Gene.37997
Gene.37998	Gene.37998
Gene.37999	Gene.37999
Gene.38002	Gene.38002
Gene.38003	Gene.38003
Gene.38008	Gene.38008
Gene.38009	Gene.38009
Gene.38010	Gene.38010
Gene.38016	Gene.38016
Gene.38020	Gene.38020
Gene.38021	Gene.38021
Gene.38025	Gene.38025
Gene.38026	Gene.38026
Gene.38027	Gene.38027
Gene.38029	Gene.38029
Gene.38030	Gene.38030
Gene.38034	Gene.38034
Gene.38036	Gene.38036
Gene.38038	Gene.38038
Gene.38044	Gene.38044
Gene.38046	Gene.38046
Gene.38047	Gene.38047
Gene.38055	Gene.38055
Gene.38060	Gene.38060
Gene.38062	Gene.38062
Gene.38063	Gene.38063
Gene.38064	Gene.38064
Gene.38068	Gene.38068
